Disease,Hospital_Type,Hospital_Name,Cost,City,Address,Contact
Gastroenteritis,Private,Sahyadri Hospital Vittal,9000,Vittal,"NH 75, Vittal - 574243",08255-231400
Jaundice,Private,Durgaparameshwari Hospital Subramanya,16500,Subramanya,Subramanya - 574238,08257-258300
Eye Disease,Private,Janatha Hospital Sullia,31500,Sullia,Sullia Town - 574239,08257-234100
Skin Disease,Govt,Government Dispensary Bellare,3500,Bellare,Bellare Town - 574212,08257-261100
UTI,Govt,Taluk Hospital Belthangady,4500,Belthangady,"Hospital Road, Belthangady - 574214",08256-230011
Malaria,Private,Sri Durga Hospital Bantwal,15500,Bantwal,"BC Road, Bantwal - 574219",08255-233001
Fever,Govt,Primary Health Centre Panemangalore,1500,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Anaemia,Govt,Taluk Hospital Belthangady,4000,Belthangady,"Hospital Road, Belthangady - 574214",08256-230011
Tuberculosis,Govt,Primary Health Centre Guthigar,5500,Sullia,"Guthigar, Sullia - 574239",08257-233300
Dengue,Private,Sai Sanjeevini Hospital Gurupura,15500,Gurupura,Gurupura - 575016,0824-2284300
Gastroenteritis,Private,Shree Hospital Uppinangady,15500,Uppinangady,Uppinangady - 574241,08251-232300
Eye Disease,Govt,Taluk Hospital BC Road Bantwal,14000,Bantwal,"BC Road, Bantwal - 574219",08255-232024
Pregnancy,Private,Narayana Hrudayalaya Surathkal,64000,Surathkal,"NITK Road, Surathkal, Mangaluru - 575014",0824-2470000
Pneumonia,Govt,Government Dispensary Moodabidri,9500,Moodabidri,"Main Road, Moodabidri - 574227",0824-2386200
Diabetes,Govt,Government Hospital Surathkal,8000,Surathkal,"Surathkal, Mangaluru - 575014",0824-2474133
Liver Disease,Govt,Community Health Centre Gurupura,25500,Gurupura,Gurupura - 575016,0824-2284100
Diabetes,Govt,Primary Health Centre Bellare,8500,Sullia,"Bellare, Sullia Taluk - 574212",08257-233200
Jaundice,Private,Sri Sai Hospital Nanthoor,16500,Nanthoor,Nanthoor - 574219,08255-239400
Hypertension,Govt,Government Hospital Kukke Subramanya,7500,Subramanya,Subramanya Town - 574238,08257-258011
Liver Disease,Govt,ESIC Hospital Kadri,41000,Mangaluru,"Kadri Hills Road, Kadri, Mangaluru - 575002",0824-2212977
Skin Disease,Govt,Primary Health Centre Vittal,2000,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
Fracture,Govt,Government Hospital Venur,16000,Belthangady,"Venur, Belthangady Taluk - 574237",08256-230300
Surgery,Private,Sahyadri Hospital Sullia,69500,Sullia,Sullia - 574239,08257-234200
Diabetes,Private,Nethravathi Medical Centre Bellare,16500,Bellare,Bellare - 574212,08257-261300
Fever,Private,Shree Durgaparameshwari Hospital BC Road,5000,Bantwal,"BC Road, Bantwal - 574219",08255-232600
Jaundice,Govt,Government Hospital Venur,8500,Belthangady,"Venur, Belthangady Taluk - 574237",08256-230300
Eye Disease,Private,Shridhar Hospital Mulki,34000,Mulki,Mulki Junction - 574154,0824-2296300
Fever,Govt,Community Health Centre Moodabidri,2000,Moodabidri,Moodabidri Town - 574227,0824-2386100
Kidney Stone,Private,Nanthoor Community Hospital,41000,Nanthoor,Nanthoor - 574219,08255-239300
Fever,Private,Sri Sai Hospital Nanthoor,5000,Nanthoor,Nanthoor - 574219,08255-239400
Jaundice,Govt,Community Health Centre Puttur,6500,Puttur,Puttur Town - 574201,08251-230300
Asthma,Private,Panchalingeshwara Hospital Vittal,13000,Vittal,Vittal Town - 574243,08255-231300
Thyroid Disorder,Govt,Community Health Sub-Centre Kinnigoli,7000,Kinnigoli,Kinnigoli Town - 574150,0824-2293100
Asthma,Private,Narayana Hospital Panambur,14500,Panambur,"Baikampady, Panambur - 575011",0824-2408300
Liver Disease,Govt,Primary Health Centre Vittal,24500,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
UTI,Private,Sahyadri Clinic Bellare,14000,Bellare,Bellare - 574212,08257-261400
Pregnancy,Private,SDM Medical College Hospital Ujire,63500,Ujire,"SDM Campus, Ujire - 574240",08256-248500
Malaria,Govt,Community Health Centre Mulki,5500,Mulki,"Mulki, Dakshina Kannada - 574154",0824-2296011
Pregnancy,Private,Sharavathi Hospital Subramanya,52500,Subramanya,"Temple Road, Subramanya - 574238",08257-258400
Liver Disease,Private,Shanthi Hospital Gurupura,77000,Gurupura,Gurupura - 575016,0824-2284400
Heart Disease,Private,Coastal Nursing Home Panemangalore,167000,Panemangalore,Panemangalore - 574236,0824-2239400
Kidney Stone,Govt,Government Maternity Hospital Puttur,20000,Puttur,Puttur - 574201,08251-230400
Fever,Govt,Port Trust Hospital Panambur,2000,Panambur,"NMPT Colony, Panambur - 575010",0824-2407700
Surgery,Private,Bellare Hospital,78000,Bellare,"Main Road, Bellare - 574212",08257-261200
Pregnancy,Govt,Primary Health Centre Kinnigoli,20000,Kinnigoli,"Kinnigoli, Mangaluru Taluk - 574150",0824-2293011
Appendicitis,Private,Nelyadi Clinic & Hospital,42000,Nelyadi,"Main Road, Nelyadi - 574221",08257-265800
Malaria,Govt,Primary Health Centre Nanthoor,6000,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Thyroid Disorder,Private,Shridhar Hospital Nanthoor,13500,Nanthoor,"Main Road, Nanthoor - 574219",08255-239200
Liver Disease,Govt,Primary Health Centre Venur,44000,Venur,Venur Town - 574237,08256-262100
Cancer,Private,Yenepoya Medical College Hospital,173000,Mangaluru,"University Road, Deralakatte, Mangaluru - 575018",0824-2204668
UTI,Private,Panemangalore Hospital,7000,Panemangalore,"Main Road, Panemangalore - 574236",0824-2239200
Thyroid Disorder,Govt,Community Health Centre Mulki,4500,Mulki,"Mulki, Dakshina Kannada - 574154",0824-2296011
Fracture,Private,Dharmasthala Rural Hospital,25500,Dharmasthala,"Temple Road, Dharmasthala - 574216",08256-277555
Jaundice,Govt,Community Health Centre Ullal,8000,Ullal,Ullal Main Road - 574146,0824-2279100
Fever,Private,Mahatma Gandhi Memorial Hospital Belthangady,4000,Belthangady,Belthangady Main Road - 574214,08256-230500
Tuberculosis,Private,Srinivasa Hospital Sullia,16500,Sullia,"Main Road, Sullia - 574239",08257-234001
Pneumonia,Govt,Primary Health Centre Panambur,8500,Surathkal,"Panambur, Mangaluru - 575010",0824-2408001
Skin Disease,Govt,Government Dispensary Nanthoor,1500,Nanthoor,Nanthoor - 574219,08255-239100
Dengue,Govt,Port Trust Hospital Panambur,8000,Panambur,"NMPT Colony, Panambur - 575010",0824-2407700
Dengue,Private,Coastal Nursing Home Panemangalore,12500,Panemangalore,Panemangalore - 574236,0824-2239400
Gastroenteritis,Private,KVG Medical College Hospital Sullia,10500,Sullia,"Kurunjibag, Sullia - 574327",08257-232608
Gastroenteritis,Private,Dharmasthala Rural Hospital,14000,Dharmasthala,"Temple Road, Dharmasthala - 574216",08256-277555
Fever,Private,Durgaparameshwari Hospital Subramanya,4000,Subramanya,Subramanya - 574238,08257-258300
Pregnancy,Private,Srinivasa Hospital Puttur,66500,Puttur,"KS Road, Puttur - 574201",08251-231000
Appendicitis,Private,Coastal Care Hospital Panambur,66000,Panambur,Baikampady Industrial Area - 575011,0824-2408400
Jaundice,Private,Vijaya Hospital Belthangady,22500,Belthangady,Belthangady Town - 574214,08256-230700
Hypertension,Govt,Wenlock District Hospital,4000,Mangaluru,"Bibi Alabi Road, Hampankatta, Mangaluru - 575001",0824-2421351
Surgery,Govt,Community Health Sub-Centre Kinnigoli,50500,Kinnigoli,Kinnigoli Town - 574150,0824-2293100
Anaemia,Govt,Primary Health Centre Uppinangady,5500,Uppinangady,Uppinangady Town - 574241,08251-232100
Jaundice,Private,Coastal Nursing Home Panemangalore,20000,Panemangalore,Panemangalore - 574236,0824-2239400
Pregnancy,Govt,Port Trust Hospital Panambur,25500,Panambur,"NMPT Colony, Panambur - 575010",0824-2407700
Asthma,Govt,Primary Health Centre Panambur,7000,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
Asthma,Private,Sri Sai Hospital Nanthoor,12000,Nanthoor,Nanthoor - 574219,08255-239400
UTI,Private,Sahyadri Medical Centre Venur,10500,Venur,Venur - 574237,08256-262300
Malaria,Govt,Government Hospital Ujire,4000,Ujire,Ujire Town - 574240,08256-248100
Dengue,Private,Sri Sai Hospital Nanthoor,15000,Nanthoor,Nanthoor - 574219,08255-239400
Malaria,Private,Pooja Hospital Uppinangady,17000,Uppinangady,Uppinangady - 574241,08251-232400
Liver Disease,Govt,Taluk Hospital Kadaba,45000,Kadaba,"Hospital Road, Kadaba - 574221",08257-265011
Fracture,Govt,Community Health Centre Gurupura,12000,Gurupura,Gurupura - 575016,0824-2284100
Typhoid,Govt,Primary Health Centre Panambur,5000,Surathkal,"Panambur, Mangaluru - 575010",0824-2408001
Cancer,Private,Sahyadri Medical Centre Venur,162500,Venur,Venur - 574237,08256-262300
Anaemia,Private,Srinivasa Hospital Kadaba,11000,Kadaba,"Main Road, Kadaba - 574221",08257-265500
UTI,Private,Sharada Hospital Puttur,10000,Puttur,Puttur - 574201,08251-231400
Heart Disease,Private,Sealand Hospital Ullal,146500,Ullal,"Someshwara, Ullal - 574146",0824-2278001
Skin Disease,Private,Sri Durgaparameshwari Hospital Moodabidri,11000,Moodabidri,Moodabidri - 574227,0824-2386600
Anaemia,Private,Panchalingeshwara Hospital Vittal,8500,Vittal,Vittal Town - 574243,08255-231300
Fever,Private,Kalanjali Hospital Vittal,4500,Vittal,Vittal - 574243,08255-231500
UTI,Govt,Government Dispensary Moodabidri,3500,Moodabidri,"Main Road, Moodabidri - 574227",0824-2386200
Liver Disease,Govt,Primary Health Centre Panambur,28500,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
Surgery,Private,Sharavathi Hospital Subramanya,68000,Subramanya,"Temple Road, Subramanya - 574238",08257-258400
Jaundice,Govt,Primary Health Centre Vittal,6000,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
Fracture,Private,Dr BR Ambedkar Medical Institute BC Road,32000,Bantwal,"BC Road, Bantwal - 574219",08255-232500
Liver Disease,Private,Udupi Hospital Ujire,53000,Ujire,Ujire - 574240,08256-248300
Thyroid Disorder,Govt,Primary Health Centre Ujire,6000,Ujire,"Ujire, Belthangady Taluk - 574240",08256-248011
Dengue,Govt,Government Ayurvedic Dispensary Puttur,5500,Puttur,"Market Road, Puttur - 574201",08251-230500
Ear Infection,Private,Srinivas Hospital Surathkal,8500,Surathkal,"Surathkal Main Road, Mangaluru - 575014",0824-2474500
Hypertension,Private,Nanthoor Community Hospital,11000,Nanthoor,Nanthoor - 574219,08255-239300
Fracture,Govt,Government Dispensary Bellare,17500,Bellare,Bellare Town - 574212,08257-261100
Cancer,Govt,Primary Health Centre Venur,102000,Venur,Venur Town - 574237,08256-262100
Pregnancy,Govt,Community Health Centre Belthangady,18500,Belthangady,Belthangady Town - 574214,08256-230100
Anaemia,Private,Shree Hospital Uppinangady,9000,Uppinangady,Uppinangady - 574241,08251-232300
Pregnancy,Private,Sri Durgaparameshwari Hospital Moodabidri,54000,Moodabidri,Moodabidri - 574227,0824-2386600
Liver Disease,Govt,Primary Health Centre Venur,33500,Venur,Venur Town - 574237,08256-262100
Anaemia,Private,Srinivasa Hospital Sullia,8000,Sullia,"Main Road, Sullia - 574239",08257-234001
Anaemia,Private,Sri Durgaparameshwari Hospital Moodabidri,12000,Moodabidri,Moodabidri - 574227,0824-2386600
Skin Disease,Private,Srinivasa Hospital Kadaba,10000,Kadaba,"Main Road, Kadaba - 574221",08257-265500
Pneumonia,Govt,Government Hospital Kateel,8000,Kateel,Kateel Town - 574272,0824-2298100
Malaria,Private,SDM Medical College Hospital Ujire,18000,Ujire,"SDM Campus, Ujire - 574240",08256-248500
Fever,Private,Sai Sanjeevini Hospital Gurupura,4000,Gurupura,Gurupura - 575016,0824-2284300
Asthma,Govt,Primary Health Centre Dharmasthala,8500,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Malaria,Private,Bhagavathi Hospital Belthangady,11000,Belthangady,Belthangady - 574214,08256-230600
Appendicitis,Private,Netravathi Hospital Ujire,61500,Ujire,"Main Road, Ujire - 574240",08256-248200
Diabetes,Govt,Community Health Centre Belthangady,9000,Belthangady,Belthangady Town - 574214,08256-230100
Fracture,Private,Shri Dharmasthala Manjunatheshwara Hospital Dharmasthala,30000,Belthangady,Dharmasthala - 574216,08256-277222
Skin Disease,Private,Narayana Hrudayalaya Surathkal,5000,Surathkal,"NITK Road, Surathkal, Mangaluru - 575014",0824-2470000
Gastroenteritis,Govt,Primary Health Centre Dharmasthala,7000,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Fracture,Private,Shanthi Hospital Kadaba,23000,Kadaba,Kadaba Town - 574221,08257-265700
Typhoid,Private,Shridhar Hospital Mulki,12500,Mulki,Mulki Junction - 574154,0824-2296300
Gastroenteritis,Govt,Community Health Centre Mulki,4500,Mulki,"Mulki, Dakshina Kannada - 574154",0824-2296011
Malaria,Govt,Primary Health Centre Kateel,6500,Kateel,"Kateel, Dakshina Kannada - 574272",0824-2298011
Heart Disease,Govt,Community Health Centre Belthangady,76000,Belthangady,Belthangady Town - 574214,08256-230100
Heart Disease,Govt,Government Hospital Kukke Subramanya,97000,Subramanya,Subramanya Town - 574238,08257-258011
UTI,Private,Sai Sanjeevini Hospital Kinnigoli,9000,Kinnigoli,Kinnigoli - 574150,0824-2293300
Gastroenteritis,Govt,Government Maternity Hospital Puttur,5500,Puttur,Puttur - 574201,08251-230400
Fracture,Govt,Government Ayurvedic Dispensary Puttur,13000,Puttur,"Market Road, Puttur - 574201",08251-230500
Hypertension,Govt,Primary Health Centre Gurupura,5000,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Jaundice,Govt,Government Hospital Uppinangady,7000,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
Malaria,Private,Srinivasa Hospital Moodabidri,14000,Moodabidri,Moodabidri Main Road - 574227,0824-2386800
Surgery,Private,Saraswathi Hospital Uppinangady,63500,Uppinangady,Uppinangady - 574241,08251-232500
Eye Disease,Govt,Primary Health Centre Dharmasthala,13500,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Fracture,Private,Netravathi Hospital Ujire,27500,Ujire,"Main Road, Ujire - 574240",08256-248200
Diabetes,Govt,Primary Health Centre Panemangalore,10000,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Pneumonia,Govt,Government Hospital Venur,10000,Venur,"Venur, Belthangady Taluk - 574237",08256-262011
Heart Disease,Govt,Primary Health Centre Ullal,83000,Ullal,"Chitrapu, Ullal - 574146",0824-2279022
Fracture,Govt,Port Trust Hospital Panambur,17000,Panambur,"NMPT Colony, Panambur - 575010",0824-2407700
Fever,Govt,Government Dispensary Nanthoor,2000,Nanthoor,Nanthoor - 574219,08255-239100
Diabetes,Govt,Primary Health Centre Venur,7500,Venur,Venur Town - 574237,08256-262100
Pneumonia,Private,Coastal Care Hospital Panambur,23000,Panambur,Baikampady Industrial Area - 575011,0824-2408400
Diabetes,Govt,Primary Health Centre Nelyadi,6500,Kadaba,"Nelyadi, Kadaba - 574221",08257-265200
UTI,Govt,Community Health Centre Vamanapadavu,2500,Bantwal,"Vamanapadavu, Bantwal - 574241",08255-232200
Thyroid Disorder,Private,Mahatma Gandhi Memorial Hospital Belthangady,14500,Belthangady,Belthangady Main Road - 574214,08256-230500
Fracture,Govt,Primary Health Centre Nelyadi,12000,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Fracture,Private,Srinivasa Hospital Puttur,35000,Puttur,"KS Road, Puttur - 574201",08251-231000
Anaemia,Govt,Taluk Hospital BC Road Bantwal,5000,Bantwal,"BC Road, Bantwal - 574219",08255-232024
Fever,Govt,Taluk Hospital Kadaba,2000,Kadaba,"Hospital Road, Kadaba - 574221",08257-265011
Eye Disease,Private,Coastal Nursing Home Panemangalore,32500,Panemangalore,Panemangalore - 574236,0824-2239400
Pregnancy,Govt,Primary Health Centre Nanthoor,22500,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Hypertension,Private,Srinivasa Hospital Venur,16500,Venur,Venur - 574237,08256-262400
Ear Infection,Govt,Government Hospital Kateel,4000,Kateel,Kateel Town - 574272,0824-2298100
Diabetes,Private,SDM Medical College Hospital Ujire,11500,Ujire,"SDM Campus, Ujire - 574240",08256-248500
Dengue,Govt,Government Hospital Kukke Subramanya,5000,Subramanya,Subramanya Town - 574238,08257-258011
Eye Disease,Govt,Government Hospital Ujire,10500,Ujire,Ujire Town - 574240,08256-248100
Heart Disease,Private,Lourdes Hospital Mangaluru,149000,Mangaluru,"Bendore, Mangaluru - 575002",0824-2443333
Appendicitis,Private,Yenepoya Specialty Hospital,52500,Mangaluru,"Deralakatte, Mangaluru - 575018",0824-2204000
Dengue,Govt,Primary Health Centre Bellare,4500,Bellare,"Bellare, Sullia Taluk - 574212",08257-261011
Eye Disease,Private,Sai Sanjeevini Hospital Kinnigoli,22000,Kinnigoli,Kinnigoli - 574150,0824-2293300
Eye Disease,Govt,Primary Health Centre Ullal,13000,Ullal,"Chitrapu, Ullal - 574146",0824-2279022
Hypertension,Govt,Primary Health Centre Panambur,6000,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
Dengue,Private,Shanthi Hospital Kadaba,13500,Kadaba,Kadaba Town - 574221,08257-265700
Liver Disease,Private,Sahyadri Hospital Vittal,82000,Vittal,"NH 75, Vittal - 574243",08255-231400
Ear Infection,Private,Yenepoya Specialty Hospital,9000,Mangaluru,"Deralakatte, Mangaluru - 575018",0824-2204000
Thyroid Disorder,Private,Shree Durgaparameshwari Hospital BC Road,16500,Bantwal,"BC Road, Bantwal - 574219",08255-232600
UTI,Private,Udupi Hospital Ujire,10500,Ujire,Ujire - 574240,08256-248300
Cancer,Private,Sri Sai Hospital Nanthoor,155000,Nanthoor,Nanthoor - 574219,08255-239400
Heart Disease,Govt,Taluk Hospital Sullia,81000,Sullia,"Hospital Road, Sullia - 574239",08257-233010
Skin Disease,Govt,Government Ayurvedic Dispensary Puttur,2500,Puttur,"Market Road, Puttur - 574201",08251-230500
Appendicitis,Govt,Government Hospital Mulki,22000,Mulki,"Town Road, Mulki - 574154",0824-2296022
Pneumonia,Govt,Community Health Centre Dharmasthala,10500,Dharmasthala,Dharmasthala - 574216,08256-277011
Gastroenteritis,Govt,Government Hospital Ujire,4000,Ujire,Ujire Town - 574240,08256-248100
Surgery,Govt,Primary Health Centre Ujire,43000,Ujire,"Ujire, Belthangady Taluk - 574240",08256-248011
Hypertension,Private,Kinnigoli Hospital,19500,Kinnigoli,"Main Road, Kinnigoli - 574150",0824-2293200
Surgery,Govt,Primary Health Centre Naravi,39500,Belthangady,"Naravi, Belthangady - 574214",08256-230200
UTI,Govt,Primary Health Centre Panemangalore,3000,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Cancer,Govt,Primary Health Centre Paladka,118500,Mulki,"Paladka, Mulki - 574154",0824-2296100
Cancer,Govt,Primary Health Centre Bellare,97000,Bellare,"Bellare, Sullia Taluk - 574212",08257-261011
Heart Disease,Govt,Taluk Hospital Moodabidri,89500,Moodabidri,"Hospital Road, Moodabidri - 574227",0824-2386011
Hypertension,Govt,Government Hospital Venur,4500,Venur,"Venur, Belthangady Taluk - 574237",08256-262011
Malaria,Govt,Primary Health Centre Venur,5000,Venur,Venur Town - 574237,08256-262100
Skin Disease,Govt,Primary Health Centre Vittal,2000,Bantwal,"Vittal, Bantwal Taluk - 574243",08255-231011
Anaemia,Private,Father Muller Medical College Hospital,10500,Mangaluru,"Father Muller Road, Kankanady, Mangaluru - 575002",0824-2238000
Asthma,Govt,Community Health Centre Sullia,8000,Sullia,Sullia Town - 574239,08257-233100
Ear Infection,Private,Dawa Hospital Ullal,10000,Ullal,Ullal Town Road - 574146,0824-2279200
Asthma,Govt,Government Dispensary Nanthoor,10000,Nanthoor,Nanthoor - 574219,08255-239100
Dengue,Private,Samanvaya Hospital Bantwal,10000,Bantwal,Bantwal Town Road - 574219,08255-232700
Kidney Stone,Private,Mahalasa Hospital Nelyadi,35500,Nelyadi,Nelyadi - 574221,08257-265900
Fever,Govt,Government Hospital Ujire,2000,Ujire,Ujire Town - 574240,08256-248100
Eye Disease,Private,Nethravathi Medical Centre Bellare,27500,Bellare,Bellare - 574212,08257-261300
Surgery,Private,Sri Sai Hospital Nanthoor,88500,Nanthoor,Nanthoor - 574219,08255-239400
Tuberculosis,Private,Durgaparameshwari Hospital Kateel,22500,Kateel,"Temple Road, Kateel - 574272",0824-2298200
Anaemia,Govt,Primary Health Centre Guthigar,4000,Sullia,"Guthigar, Sullia - 574239",08257-233300
Jaundice,Govt,Primary Health Centre Nelyadi,9500,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Cancer,Govt,Primary Health Centre Nelyadi,107000,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Diabetes,Govt,Community Health Centre Puttur,8000,Puttur,Puttur Town - 574201,08251-230300
Typhoid,Private,City Medical Centre Moodabidri,8500,Moodabidri,Moodabidri - 574227,0824-2386900
Fracture,Private,Sri Sai Hospital Nanthoor,34000,Nanthoor,Nanthoor - 574219,08255-239400
Surgery,Govt,Primary Health Centre Gurupura,39500,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Gastroenteritis,Private,Sai Sanjeevini Hospital Gurupura,11500,Gurupura,Gurupura - 575016,0824-2284300
Malaria,Private,Ullal Nursing Home,13500,Ullal,"Main Road, Ullal - 574146",0824-2279400
Appendicitis,Govt,Primary Health Centre Dharmasthala,23000,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Cancer,Private,Jain Hospital Moodabidri,156500,Moodabidri,"Temple Road, Moodabidri - 574227",0824-2386700
Kidney Stone,Govt,Primary Health Centre Uppinangady,21000,Uppinangady,Uppinangady Town - 574241,08251-232100
Anaemia,Govt,Primary Health Centre Dharmasthala,4000,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Diabetes,Govt,Primary Health Centre Gurupura,9000,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Asthma,Private,KMC Hospital Jyothi Circle,14000,Mangaluru,"Dr BR Ambedkar Circle, Balmatta, Mangaluru - 575001",0824-2871000
Eye Disease,Govt,Wenlock District Hospital,12500,Mangaluru,"Bibi Alabi Road, Hampankatta, Mangaluru - 575001",0824-2421351
Ear Infection,Private,Srinivasa Hospital Venur,10000,Venur,Venur - 574237,08256-262400
Gastroenteritis,Private,Coastal Hospital Kinnigoli,13500,Kinnigoli,Kinnigoli - 574150,0824-2293400
Fever,Govt,Primary Health Centre Panambur,2000,Surathkal,"Panambur, Mangaluru - 575010",0824-2408001
Asthma,Private,Venur Hospital,20000,Venur,"Main Road, Venur - 574237",08256-262200
Typhoid,Govt,Community Health Centre Gurupura,3000,Gurupura,Gurupura - 575016,0824-2284100
Fracture,Govt,Government Hospital Uppinangady,15000,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
Pneumonia,Private,Prakash Hospital Surathkal,19500,Surathkal,"NH 66 Surathkal, Mangaluru - 575014",0824-2476001
Dengue,Govt,Government Hospital Vittal,4000,Vittal,"Main Road, Vittal - 574243",08255-231100
Ear Infection,Govt,Primary Health Centre Vittal,2500,Bantwal,"Vittal, Bantwal Taluk - 574243",08255-231011
Thyroid Disorder,Govt,Community Health Centre Vamanapadavu,8000,Bantwal,"Vamanapadavu, Bantwal - 574241",08255-232200
Pregnancy,Private,Shree Hospital Uppinangady,66000,Uppinangady,Uppinangady - 574241,08251-232300
Gastroenteritis,Govt,Primary Health Centre Gurupura,7000,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Appendicitis,Govt,Urban Primary Health Centre Kavoor,16000,Mangaluru,"Kavoor, Mangaluru - 574143",0824-2285033
Surgery,Private,Alva's Health Centre Moodabidri,81500,Moodabidri,"Alva's Education Foundation, Moodabidri - 574227",0824-2386500
Diabetes,Govt,ESIC Hospital Kadri,6500,Mangaluru,"Kadri Hills Road, Kadri, Mangaluru - 575002",0824-2212977
Liver Disease,Govt,Primary Health Centre Uppinangady,44000,Uppinangady,Uppinangady Town - 574241,08251-232100
Jaundice,Govt,Primary Health Centre Nanthoor,6000,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Heart Disease,Private,Narayana Hrudayalaya Surathkal,140500,Surathkal,"NITK Road, Surathkal, Mangaluru - 575014",0824-2470000
Surgery,Private,Ullal Nursing Home,79500,Ullal,"Main Road, Ullal - 574146",0824-2279400
Cancer,Private,Durgaparameshwari Hospital Subramanya,152500,Subramanya,Subramanya - 574238,08257-258300
Ear Infection,Govt,Government Hospital Ujire,2000,Ujire,Ujire Town - 574240,08256-248100
Cancer,Private,Sahyadri Clinic Bellare,202000,Bellare,Bellare - 574212,08257-261400
Heart Disease,Govt,Primary Health Centre Paladka,89500,Mulki,"Paladka, Mulki - 574154",0824-2296100
Heart Disease,Govt,Government Lady Goschen Hospital,88000,Mangaluru,"Maidan Road, Mangaluru - 575001",0824-2440305
Typhoid,Private,Sahyadri Hospital Sullia,9500,Sullia,Sullia - 574239,08257-234200
Jaundice,Govt,Primary Health Centre Subramanya,6500,Subramanya,Subramanya - 574238,08257-258100
Diabetes,Private,Crescent Hospital Ullal,15500,Ullal,Ullal - 574146,0824-2279300
Kidney Stone,Govt,Primary Health Centre Kateel,22000,Kateel,"Kateel, Dakshina Kannada - 574272",0824-2298011
Jaundice,Govt,Community Health Centre Moodabidri,6000,Moodabidri,Moodabidri Town - 574227,0824-2386100
Anaemia,Private,Srinivas Hospital Surathkal,10000,Surathkal,"Surathkal Main Road, Mangaluru - 575014",0824-2474500
Kidney Stone,Private,Kalanjali Hospital Vittal,38500,Vittal,Vittal - 574243,08255-231500
Tuberculosis,Private,Sahyadri Clinic Bellare,29500,Bellare,Bellare - 574212,08257-261400
Thyroid Disorder,Govt,Government Hospital Ullal,7000,Ullal,"Ullal Town, Dakshina Kannada - 574146",0824-2279011
Thyroid Disorder,Govt,Primary Health Centre Gurupura,6500,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Pregnancy,Private,Srinivasa Hospital Venur,66500,Venur,Venur - 574237,08256-262400
Heart Disease,Private,Shanthi Hospital Kadaba,159500,Kadaba,Kadaba Town - 574221,08257-265700
Kidney Stone,Private,Srinivasa Hospital Mulki,41500,Mulki,"Main Road, Mulki - 574154",0824-2296200
Pneumonia,Private,Kalanjali Hospital Vittal,20000,Vittal,Vittal - 574243,08255-231500
Asthma,Private,Sai Sanjeevini Hospital Gurupura,16000,Gurupura,Gurupura - 575016,0824-2284300
Hypertension,Govt,Government Hospital Venur,4500,Belthangady,"Venur, Belthangady Taluk - 574237",08256-230300
Kidney Stone,Govt,Primary Health Centre Venur,23000,Venur,Venur Town - 574237,08256-262100
Fever,Private,Shanthi Hospital Kadaba,4000,Kadaba,Kadaba Town - 574221,08257-265700
Malaria,Govt,Primary Health Centre Uppinangady,3500,Uppinangady,Uppinangady Town - 574241,08251-232100
Cancer,Govt,Government Hospital Uppinangady,118000,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
UTI,Private,Srinivas Institute of Medical Sciences,10000,Mangaluru,"Mukka, Surathkal, Mangaluru - 574146",0824-2477000
Tuberculosis,Private,Kalanjali Hospital Vittal,19500,Vittal,Vittal - 574243,08255-231500
Hypertension,Private,Netravathi Hospital Ujire,13000,Ujire,"Main Road, Ujire - 574240",08256-248200
Typhoid,Private,Sai Sanjeevini Hospital Kinnigoli,8500,Kinnigoli,Kinnigoli - 574150,0824-2293300
